epoch,loss
0,2.638977289199829
1,1.7417370080947876
2,1.3855228424072266
3,1.2507424354553223
4,1.1833373308181763
5,1.1388301849365234
6,1.106881856918335
7,1.0804860591888428
8,1.0566678047180176
9,1.032731056213379
10,1.0112080574035645
11,0.9938095211982727
12,0.9741025567054749
13,0.9554888010025024
14,0.9376075267791748
15,0.9191901087760925
16,0.9019613265991211
17,0.8837395310401917
18,0.866227388381958
19,0.8462062478065491
20,0.8281698822975159
21,0.8100461363792419
22,0.7931211590766907
23,0.7750265598297119
24,0.7588648796081543
25,0.7437008619308472
26,0.7284821271896362
27,0.7159848213195801
28,0.7032354474067688
29,0.6915504932403564
30,0.6813331246376038
31,0.6719130873680115
32,0.665529191493988
33,0.6567640900611877
34,0.6480825543403625
35,0.6427911520004272
36,0.638672411441803
37,0.6339858174324036
38,0.6308283805847168
39,0.6254709959030151
40,0.6224915981292725
41,0.6208599805831909
42,0.6166710257530212
43,0.6148814558982849
44,0.6141800880432129
45,0.611571192741394
46,0.6103460192680359
47,0.609915018081665
48,0.6093600988388062
49,0.6101605296134949
50,0.6099863648414612
51,0.6100488901138306
52,0.6090985536575317
53,0.6113051176071167
54,0.609776496887207
55,0.6116973161697388
56,0.6120521426200867
57,0.613368570804596
58,0.6113629341125488
59,0.6139951944351196
60,0.6186575293540955
61,0.6195505261421204
62,0.6202098727226257
